date,close_price_TONUSDT,return_TONUSDT,signal_TONUSDT,position_TONUSDT,signal_return_TONUSDT,cum_return_TONUSDT,cum_signal_return_TONUSDT
2024-08-21 00:00:00,6.4919,-0.025386579,0,0.5,-0.012693289,1.393768437,0.309937185
2024-08-22 00:00:00,6.5018,0.001524977,0,0.5,0.000762489,1.397418879,0.310935997
2024-08-23 00:00:00,6.7015,0.030714571,0,0.5,0.015357286,1.471054572,0.331068415
2024-08-24 00:00:00,5.9176,-0.116973812,0,0.5,-0.058486906,1.1820059,0.253218342
2024-08-25 00:00:00,5.7674,-0.025381912,0,0.5,-0.012690956,1.126622419,0.237313804
2024-08-26 00:00:00,5.1279,-0.110881853,-1,0,-0.055440927,0.890818584,0.16871598
2024-08-27 00:00:00,5.4331,0.059517541,0,0.5,0,1.003355457,0.16871598
2024-08-28 00:00:00,5.5198,0.015957741,0,0.5,0.00797887,1.035324484,0.178041013
2024-08-29 00:00:00,5.4517,-0.012337404,0,0.5,-0.006168702,1.010213864,0.170774029
2024-08-30 00:00:00,5.3705,-0.014894437,0,0.5,-0.007447218,0.980272861,0.16205502
2024-08-31 00:00:00,5.4186,0.008956336,-1,0,0.004478168,0.99800885,0.167258897
2024-09-01 00:00:00,5.1816,-0.043738235,-1,0,0,0.910619469,0.167258897
2024-09-02 00:00:00,5.2154,0.006523082,-1,0,0,0.923082596,0.167258897
2024-09-03 00:00:00,4.8851,-0.063331672,-1,0,0,0.80129056,0.167258897
2024-09-04 00:00:00,4.6236,-0.053530122,-1,0,0,0.704867257,0.167258897
2024-09-05 00:00:00,4.8081,0.039903971,-1,0,0,0.77289823,0.167258897
2024-09-06 00:00:00,4.6542,-0.032008486,-1,0,0,0.716150442,0.167258897
2024-09-07 00:00:00,4.667,0.002750204,-1,0,0,0.720870206,0.167258897
2024-09-08 00:00:00,4.8932,0.048467967,-1,0,0,0.804277286,0.167258897
2024-09-09 00:00:00,5.218,0.06637783,-1,0,0,0.924041298,0.167258897
2024-09-10 00:00:00,5.5269,0.059198927,-1,0,0,1.037942478,0.167258897
2024-09-11 00:00:00,5.3843,-0.025801082,-1,0,0,0.985361357,0.167258897
