date,close_price_BTCUSDT,close_price_ETHUSDT,close_price_SOLUSDT,return_BTCUSDT,return_ETHUSDT,return_SOLUSDT,signal_BTCUSDT,signal_ETHUSDT,signal_SOLUSDT,position_BTCUSDT,position_ETHUSDT,position_SOLUSDT,signal_return_BTCUSDT,signal_return_ETHUSDT,signal_return_SOLUSDT,signal_basket_return,cum_signal_basket_return
4/25/2024,64478.8,3154.44,144.786,0.003561089,0.004969989,-0.019735818,0,0,0,0,0,0,0,0,0,0,4.105606
4/26/2024,63748.8,3129.98,139.202,-0.011321551,-0.00775415,-0.038567265,0,0,0,0,0,0,0,0,0,0,4.105606
4/27/2024,63421,3253.97,141.242,-0.005142058,0.039613672,0.014654962,0,0,0,0,0,0,0,0,0,0,4.105606
4/28/2024,63088.3,3262.28,137.922,-0.005245896,0.002553804,-0.023505756,0,0,0,0,0,0,0,0,0,0,4.105606
4/29/2024,63842.4,3215.27,137.725,0.011953088,-0.014410167,-0.001428344,0,0,0,0,0,0,0,0,0,0,4.105606
4/30/2024,60651.2,3012.58,126.685,-0.04998559,-0.063039807,-0.080159739,0,0,0,0,0,0,0,0,0,0,4.105606
5/1/2024,58307.6,2970.61,134.541,-0.03864062,-0.01393158,0.062012077,0,0,0,0,0,0,0,0,0,0,4.105606
5/2/2024,59036.7,2984.8,137.538,0.012504373,0.004776797,0.022275738,0,0,0,0,0,0,0,0,0,0,4.105606
5/3/2024,62853.7,3100.83,143.607,0.064654698,0.038873626,0.044125987,0,0,0,0,0,0,0,0,0,0,4.105606
5/4/2024,63864.2,3115.46,146.007,0.016077017,0.004718092,0.016712277,0,0,0,0,0,0,0,0,0,0,4.105606
5/5/2024,63988,3135.24,145.673,0.001938488,0.006348982,-0.002287562,0,0,0,0,0,0,0,0,0,0,4.105606
5/6/2024,63142.8,3061.5,152.784,-0.013208727,-0.023519731,0.048814811,0,0,0,0,0,0,0,0,0,0,4.105606
5/7/2024,62296,3004.55,148.011,-0.013410872,-0.018601992,-0.031240182,0,0,0,0,0,0,0,0,0,0,4.105606
5/8/2024,61157.9,2972.93,142.118,-0.018269231,-0.010524039,-0.039814608,0,0,0,0,0,0,0,0,0,0,4.105606
5/9/2024,63050.1,3034.75,152.459,0.030939584,0.020794301,0.072763478,0,0,0,0,0,0,0,0,0,0,4.105606
