date,close,open,signal,position,asset_return,signal_return
2021-06-11,37300.42,36669.65,-1.0,0.0,0.017201141215926086,0.0
2021-06-12,35537.05,37300.41,-1.0,0.0,-0.0472748028038289,-0.0
2021-06-13,38993.65,35535.95,-1.0,0.0,0.0972674996939813,0.0
2021-06-14,40489.1,38993.66,-1.0,0.0,0.03835111614326947,0.0
2021-06-15,40132.86,40489.1,-1.0,0.0,-0.008798417351830401,-0.0
2021-06-16,38344.97,40132.86,-1.0,0.0,-0.0445492795679151,-0.0
2021-06-17,38060.71,38344.97,-1.0,0.0,-0.0074132278627419,-0.0
2021-06-18,35811.41,38060.71,-1.0,0.0,-0.05909768892908185,-0.0
2021-06-19,35483.0,35811.41,-1.0,0.0,-0.009170540897440294,-0.0
2021-06-20,35588.64,35483.01,-1.0,0.0,0.0029772003494630273,0.0
2021-06-21,31606.0,35588.63,-1.0,0.0,-0.1119076199596275,-0.0
2021-06-22,32496.0,31606.0,-1.0,0.0,0.02815921027652979,0.0
2021-06-23,33649.0,32496.0,-1.0,0.0,0.03548129000492373,0.0
2021-06-24,34644.64,33650.0,-1.0,0.0,0.02958899224345446,0.0
2021-06-25,31568.07,34644.65,-1.0,0.0,-0.0888036360025678,-0.0
2021-06-26,32255.56,31569.18,-1.0,0.0,0.021778018105002905,0.0
2021-06-27,34687.71,32250.15,-1.0,0.0,0.07540250425042982,0.0
2021-06-28,34487.22,34687.71,-1.0,0.0,-0.005779856900325786,-0.0
2021-06-29,35911.26,34486.58,0.0,0.5,0.04129181766463064,0.0
2021-06-30,35031.39,35910.64,-1.0,0.0,-0.024501228862479407,-0.012250614431239704
2021-07-01,33489.96,35031.39,-1.0,0.0,-0.04400139417819282,-0.0
2021-07-02,33760.94,33489.96,-1.0,0.0,0.008091380222610134,0.0
2021-07-03,34652.94,33760.94,-1.0,0.0,0.026421065290243684,0.0
2021-07-04,35280.16,34653.32,-1.0,0.0,0.018100051539638562,0.0
2021-07-05,33672.72,35280.17,-1.0,0.0,-0.04556215164557087,-0.0
2021-07-06,34206.01,33672.72,-1.0,0.0,0.015837449424935146,0.0
2021-07-07,33845.64,34206.0,0.0,0.5,-0.010535283127146466,-0.0
2021-07-08,32852.04,33845.63,-1.0,0.0,-0.029356809326105182,-0.014678404663052591
2021-07-09,33805.01,32855.0,-1.0,0.0,0.029007939841787733,0.0
2021-07-10,33497.98,33805.01,-1.0,0.0,-0.009082381575985288,-0.0
2021-07-11,34253.81,33497.98,-1.0,0.0,0.02256345009460259,0.0
2021-07-12,33070.87,34253.88,-1.0,0.0,-0.03453455250671367,-0.0
2021-07-13,32709.09,33070.86,-1.0,0.0,-0.010939536818958873,-0.0
2021-07-14,32803.01,32708.66,-1.0,0.0,0.0028713730647964564,0.0
2021-07-15,31866.43,32803.0,-1.0,0.0,-0.028551648156678322,-0.0
2021-07-16,31382.95,31865.53,-1.0,0.0,-0.015172079206864364,-0.0
2021-07-17,31496.65,31382.96,-1.0,0.0,0.0036229863668011397,0.0
2021-07-18,31767.0,31496.65,-1.0,0.0,0.008583452525903423,0.0
2021-07-19,30823.62,31765.23,-1.0,0.0,-0.02969685522712251,-0.0
2021-07-20,29775.9,30823.62,-1.0,0.0,-0.0339908161338609,-0.0
2021-07-21,32120.0,29775.89,0.0,0.5,0.07872474047803757,0.0
2021-07-22,32268.11,32120.0,-1.0,0.0,0.004611145703611541,0.0023055728518057705
2021-07-23,33634.46,32268.12,-1.0,0.0,0.04234366375966858,0.0
2021-07-24,34230.0,33631.74,-1.0,0.0,0.017706245321019054,0.0
2021-07-25,35370.66,34230.0,0.0,0.5,0.033323400525854696,0.0
2021-07-26,37218.09,35370.67,0.0,0.5,0.052230577546474866,0.026115288773237433
